CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Cambridge,Cambridge Common Historic District,MA,US,2018-01-20,up to 10000,10000,,10000,,,the January Coalition,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/862995990536253/,https://www.bostonglobe.com/metro/2018/01/20/women-march-will-mark-anniversary-trump-inauguration/SDC6cUhZFDpLFZuVZkrqlL/story.html?event=event25,,,,,,
Canon City,,CO,US,2018-01-20,FB: 4 ,4,,4,,,Women's March On Canon City,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/196952110860035/,,,,,,,
Canton,Unitarian Universalist Church on Main Street,NY,US,2018-01-20,about 150,150,,150,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.watertowndailytimes.com/news03/hundreds-rally-in-support-of-womens-movement-in-watertown-canton-20180121,,,,,,,
Carbondale,Civic Center,IL,US,2018-01-20,several hundred; more than 1000,200,,1000,,,Women United Network,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/201418973738325,http://thesouthern.com/news/local/communities/carbondale/several-hundred-attend-women-s-march-in-downtown-carbondale/article_591afb9d-1667-59f3-a76f-db991aec4a92.html,,,,,,
Carbondale,The Goat Kitchen Bar,CO,US,2018-01-20,roughly 500,500,,500,,,Women's March Carbondale,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/1755824881154780/,https://www.postindependent.com/news/hundreds-turn-out-for-carbondales-sister-womens-march/,,,,,,
Carlisle,Old Carlisle Courthouse,PA,US,2018-01-20,,10,,10,,,Women's March Carlisle,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://actionnetwork.org/events/womens-march-in-carlisle-pa,http://cumberlink.com/news/local/multimedia/photo_galleries/photos-carlisle-women-s-march/collection_dc558e03-a542-58d6-8cd5-071fdf4c97ca.html#6,http://cumberlink.com/news/local/multimedia/photo_galleries/photos-carlisle-women-s-march/collection_dc558e03-a542-58d6-8cd5-071fdf4c97ca.html#1,,,,,
Carpinteria,Seal Fountain; Linden Avenue,CA,US,2018-01-20,nearly 400,400,,400,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://actionnetwork.org/events/womens-march-carpinteria-2018,http://www.coastalview.com/news/gal-vanized-carpinteria-women-s-march-draws/article_f376abe2-ffbe-11e7-8a44-57d2225a5708.html,,,,,,
Casa Grande,Peart Park,AZ,US,2018-01-20,FB: 83,83,,83,,,Women's March Anniversary Event in Pinal County,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/133712343944883/,,,,,,,
Casper,downtown,WY,US,2018-01-20,at least 350,350,,350,,,Women's March Reboot,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://marchonthepolls.org/event/Womens-March-Reboot/,http://trib.com/news/local/casper/women-s-march-demonstrators-find-even-more-reasons-to-march/article_06306dbf-2840-53ef-8b68-19edf4e5c364.html,https://www.facebook.com/events/749324518595628/,,,,,
Charlotte,First Ward Park,NC,US,2018-01-20,more than 5000,5000,,5000,,,Charlotte Women’s March,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://charlottewomensmarch.org/2017/12/17/save-the-date/,http://www.charlotteobserver.com/news/local/article192381944.html,http://www.charlotteobserver.com/news/local/article195744414.html,,,,,
