Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
T'Ruah Rabbinical Group,"Against ""Muslim ban""",1.0,200.0,2017-02-06,5,New York,NY
Westchester Social Justice Community,In support of immigrant community,1.0,75.0,2017-02-06,5,White Plains,NY
general protesters,Against city compliance with federal immigration,1.0,24.0,2017-02-07,6,Miami,FL
general protesters,Against immigration executive order,1.0,250.0,2017-02-07,6,Port Orange,FL
EIU College Democrats,"Against ""Muslim ban""",1.0,35.0,2017-02-07,6,Charleston,IL
general protesters,"Against ""travel ban"" and DeVos nomination",1.0,16.0,2017-02-07,6,Indianapolis,IN
Indivisible Kansas City,"Against ""travel ban"" and DeVos nomination",1.0,100.0,2017-02-07,6,Kansas City,MO
students; general protesters,anti-immigration ban; anti-Wall on US-Mexico border,1.0,130.0,2017-02-07,6,Long Beach,MS
New Jersey Working Families Alliance,Demanding New Brunswick be a Sanctuary City,1.0,62.0,2017-02-07,6,New Brunswick,NJ
general protesters,Against Rep. Chris Collins statements on immigration ban,1.0,18.0,2017-02-07,6,Buffalo,NY
students,Against immigration executive order,1.0,600.0,2017-02-07,6,New York,NY
general protesters,Demanding release of undocumented immigrant Martin Esquivel Hernandez,1.0,100.0,2017-02-07,6,Pittsburgh,PA
Indivisible Charlottesville,Against immigration executive order,1.0,200.0,2017-02-07,6,Charlottesville,VA
Puente Arizona,Against deportation of undocumented immigrant,1.0,100.0,2017-02-08,7,Phoenix,AZ
Students for Justice in Palestine,Against immigration executive order,1.0,45.0,2017-02-08,7,Fullerton,CA
Students Organize for Syria,Against immigration executive order,1.0,300.0,2017-02-08,7,Orlando,FL
Academics United,Against immigration executive order,1.0,75.0,2017-02-09,8,Tuscaloosa,AL
Academics United,Against immigration executive order,1.0,150.0,2017-02-09,8,Tempe,AZ
general protesters,Against stepped up immigration raids,1.0,125.0,2017-02-09,8,Los Angeles,CA
Academics United,"Against ""Immigration ban""",1.0,50.0,2017-02-09,8,Gainesville,FL
Academics United,"Against ""Muslim ban""",1.0,200.0,2017-02-09,8,Ames,IA
students and faculty,"Against ""Muslim ban""",1.0,130.0,2017-02-09,8,Champaign,IL
Academics United,"Against ""Muslim ban""",1.0,200.0,2017-02-09,8,Evanston,IL
students,"Against ""travel ban""",1.0,62.0,2017-02-09,8,Lexington,KY
Iranian Student Association,Against immigration executive order,1.0,24.0,2017-02-09,8,Baton Rouge,LA
student protestors,against the Muslim ban,1.0,42.5,2017-02-09,8,Ann Arbor,MI
students,Against immigration executive order,1.0,200.0,2017-02-09,8,University,MI
general protesters,against EO on immigration,1.0,40.0,2017-02-09,8,Oxford,MS
students,"Against ""Muslim ban""",1.0,87.0,2017-02-09,8,Charlotte,NC
general protestors,against immigration ban,1.0,100.0,2017-02-09,8,Athens,OH
